"시도별","지출목적별",2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03
"전국","0 총지수",104.95,104.71,104.87,104.86,105.50,106.20,105.61,105.50,105.67,106.47,107.00,107.16
"전국","01 식료품 · 비주류음료",111.29,111.48,111.18,111.28,114.78,119.68,119.82,115.35,115.79,118.04,120.97,120.61
"전국","02 주류 및 담배",103.35,103.44,103.44,103.45,103.44,103.39,103.52,103.45,103.38,103.58,103.54,103.43
"전국","03 의류 및 신발",103.92,104.79,104.79,105.20,105.10,105.17,105.23,105.38,105.43,105.12,105.34,105.05
"전국","04 주택 ·수도 · 전기 및 연료",103.95,103.57,103.67,101.18,101.53,103.23,103.54,103.46,103.58,103.60,104.18,104.48
"전국","05 가정용품 및 가사 서비스",107.14,107.58,106.98,107.13,107.41,106.47,107.56,107.14,107.45,108.53,107.94,107.19
"전국","06 보건",103.83,103.81,103.97,103.88,103.86,103.80,103.97,103.95,103.82,104.83,104.81,104.91
"전국","07 교통",98.47,96.00,97.54,99.60,99.84,99.38,99.04,98.71,99.71,102.01,102.70,104.04
"전국","08 통신",96.68,96.62,96.87,96.78,96.71,96.63,83.33,94.99,95.80,94.88,94.89,94.95
"전국","09 오락 및 문화",100.22,100.65,100.37,101.77,102.78,101.76,102.34,100.67,100.00,101.04,99.88,99.80
"전국","10 교육",102.69,102.44,102.36,102.44,102.48,101.35,101.44,101.56,100.91,101.10,101.26,101.45
"전국","11 음식 및 숙박",110.90,110.86,110.95,111.13,111.35,111.25,111.51,111.41,111.67,111.96,112.26,112.42
"전국","12 기타 상품 및 서비스",110.11,110.51,110.81,111.09,110.98,111.53,110.99,111.24,111.13,112.26,112.14,112.37
